13:00:11.095	ORG0	0	SMT0	0	
13:00:11.112	ORG0	0	SMT0	0	
13:00:11.129	ORG0	0	SMT0	0	
13:00:11.162	ORG0	0	SMT0	0	
13:00:11.197	ORG0	0	SMT0	0	
13:00:11.212	ORG0	0	SMT0	0	
13:00:11.244	ORG0	0	SMT0	0	
13:00:11.287	ORG0	0	SMT0	0	
13:00:11.317	ORG0	0	SMT0	0	
13:00:11.330	ORG0	0	SMT0	0	
13:00:11.347	ORG0	0	SMT0	0	
13:00:11.368	ORG0	0	SMT0	0	
13:00:11.408	ORG0	0	SMT0	0	
13:00:11.428	ORG0	0	SMT0	0	
13:00:11.447	ORG0	0	SMT0	0	
13:00:11.462	ORG0	0	SMT0	0	
13:00:11.487	ORG0	0	SMT0	0	
13:00:11.507	ORG0	0	SMT0	0	
13:00:11.537	ORG0	0	SMT0	0	
13:00:11.559	ORG0	0	SMT0	0	
13:00:11.578	ORG0	0	SMT0	0	
13:00:11.597	ORG0	0	SMT0	0	
13:00:11.628	ORG0	0	SMT0	0	
13:00:11.647	ORG0	0	SMT0	0	
13:00:11.677	ORG0	0	SMT0	0	
13:00:11.687	ORG0	0	SMT0	0	
13:00:11.711	ORG0	0	SMT0	0	
13:00:11.749	ORG0	0	SMT0	0	
13:00:11.767	ORG0	0	SMT0	0	
13:00:11.787	ORG0	0	SMT0	0	
13:00:11.808	ORG0	0	SMT0	0	
13:00:11.817	ORG0	0	SMT0	0	
13:00:11.837	ORG0	0	SMT0	0	
13:00:11.857	ORG0	0	SMT0	0	
13:00:11.888	ORG0	0	SMT0	0	
13:00:11.900	ORG0	0	SMT0	0	
13:00:11.927	ORG0	0	SMT0	0	
13:00:11.957	ORG0	0	SMT0	0	
13:00:11.977	ORG0	0	SMT0	0	
13:00:11.999	ORG0	0	SMT0	0	
13:00:12.017	ORG0	0	SMT0	0	
13:00:12.028	ORG0	0	SMT0	0	
13:00:12.048	ORG0	0	SMT0	0	
13:00:12.067	ORG0	0	SMT0	0	
13:00:12.097	ORG0	0	SMT0	0	
13:00:12.117	ORG0	0	SMT0	0	
13:00:12.137	ORG0	0	SMT0	0	
13:00:12.157	ORG0	0	SMT0	0	
13:00:12.178	ORG0	0	SMT0	0	
13:00:12.197	ORG0	0	SMT0	0	
13:00:12.219	ORG0	0	SMT0	0	
13:00:12.247	ORG0	0	SMT0	0	
13:00:12.268	ORG0	0	SMT0	0	
13:00:12.287	ORG0	0	SMT0	0	
13:00:12.297	ORG0	0	SMT0	0	
13:00:12.317	ORG0	0	SMT0	0	
13:00:12.337	ORG0	0	SMT0	0	
13:00:12.361	ORG0	0	SMT0	0	
13:00:12.387	ORG0	0	SMT0	0	
