14:30:55.539	NS0	10.7356	92.1175	0.719599	
14:30:55.573	NS0	-50.7885	-85.235	-30.4773	
14:30:55.607	NS0	-11.0371	107.929	-2.60304	
14:30:55.624	NS0	-6.27828	-37.3822	27.7626	
14:30:55.668	NS0	36.83	40.5361	6.89952	
14:30:55.710	NS0	38.8455	-84.189	-9.83196	
14:30:55.741	NS0	30.8347	52.0465	-45.6929	
14:30:55.768	NS0	-63.4959	1.99667	-36.9902	
14:30:55.808	NS0	-32.352	-25.9147	-17.2089	
14:30:55.829	NS0	18.5468	-3.71475	17.9696	
14:30:55.848	NS0	61.7757	1.39643	-2.12856	
14:30:55.867	NS0	-68.3999	-50.0608	-22.6132	
14:30:55.898	NS0	5.26971	85.5168	-20.897	
14:30:55.923	NS0	-22.5347	35.2146	21.4898	
14:30:55.958	NS0	4.7526	24.0151	-64.9128	
14:30:55.978	NS0	-74.9392	79.4792	12.3083	
14:30:56.019	NS0	62.6459	-88.8655	-2.31771	
14:30:56.038	NS0	-56.5019	0.082457	52.4637	
14:30:56.058	NS0	72.9732	-10.1462	21.2491	
14:30:56.089	NS0	7.70813	24.2001	0.774358	
14:30:56.118	NS0	23.8486	46.197	17.9252	
14:30:56.128	NS0	-3.18449	-8.03017	13.4594	
14:30:56.158	NS0	32.772	80.1705	-3.51802	
14:30:56.178	NS0	-3.6937	31.3682	17.6513	
14:30:56.218	NS0	35.4865	-56.1887	11.2584	
14:30:56.238	NS0	-2.64584	43.4964	-16.6587	
14:30:56.258	NS0	-27.0669	-50.2594	3.03782	
14:30:56.280	NS0	55.6548	149.931	35.36	
14:30:56.318	NS0	76.1458	22.8752	3.6151	
14:30:56.338	NS0	42.4115	3.33061	-34.2161	
14:30:56.358	NS0	-72.928	-93.1636	-18.234	
14:30:56.390	NS0	12.1551	-39.8792	-11.6109	
14:30:56.419	NS0	-44.4985	77.9174	46.5048	
14:30:56.438	NS0	89.4994	-24.5207	45.1748	
14:30:56.478	NS0	65.2596	-61.7418	-10.2377	
14:30:56.498	NS0	38.7546	9.27576	-24.0838	
14:30:56.528	NS0	-99.6929	-31.4806	-15.83	
14:30:56.548	NS0	-45.0471	16.8899	-32.09	
14:30:56.573	NS0	-78.868	-30.3782	-14.0503	
14:30:56.608	NS0	3.84059	79.7749	15.2447	
14:30:56.628	NS0	-18.9669	1.34516	26.5758	
14:30:56.648	NS0	52.7784	5.90128	-4.08618	
14:30:56.688	NS0	12.0727	32.8707	22.3482	
14:30:56.707	NS0	4.66594	1.12833	9.07548	
14:30:56.738	NS0	-38.897	65.1944	29.5897	
14:30:56.760	NS0	59.4119	-37.164	23.4639	
14:30:56.777	NS0	70.3368	-9.48289	13.5298	
14:30:56.798	NS0	75.747	-68.5061	-49.4155	
14:30:56.837	NS0	-52.2109	109.686	11.4911	
14:30:56.851	NS0	8.25296	-24.397	-41.6505	
14:30:56.878	NS0	-20.7813	-0.654446	7.44491	
14:30:56.907	NS0	8.66754	-43.2138	-21.8609	
